production_budget,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
200000000,2012.0,2.35,143.0,2039,200000000.0,7.8
200000000,2012.0,2.35,143.0,2039,200000000.0,7.8
200000000,2013.0,1.85,104.0,14863,200000000.0,7.3
200000000,2013.0,2.35,130.0,73441,215000000.0,6.4
200000000,2013.0,2.35,130.0,73441,215000000.0,6.4
200000000,2014.0,2.35,149.0,91434,200000000.0,8.0
200000000,2014.0,2.35,142.0,28631,200000000.0,6.7
200000000,2011.0,2.35,106.0,4482,200000000.0,6.3
200000000,2010.0,2.35,125.0,25550,170000000.0,6.8
200000000,2010.0,2.35,125.0,25549,170000000.0,6.8
200000000,2009.0,2.35,158.0,2144,200000000.0,5.8
200000000,2009.0,2.35,118.0,27468,200000000.0,6.6
200000000,2011.0,2.35,123.0,17657,200000000.0,5.6
200000000,2010.0,2.35,116.0,16149,200000000.0,6.6
195000000,2011.0,2.35,154.0,2593,195000000.0,6.3
195000000,2013.0,2.35,114.0,1766,195000000.0,6.3
190000000,2015.0,2.35,140.0,79150,190000000.0,7.2
190000000,2013.0,2.35,132.0,21411,190000000.0,7.8
190000000,2013.0,2.35,123.0,32392,190000000.0,7.0
190000000,2009.0,2.35,96.0,48878,200000000.0,6.8
190000000,2013.0,1.85,131.0,19166,190000000.0,7.0
187500000,2015.0,2.35,93.0,696,,6.8
186000000,2008.0,2.35,126.0,39252,140000000.0,7.9
185000000,2008.0,2.35,152.0,57802,185000000.0,9.0
185000000,2008.0,2.35,122.0,14959,185000000.0,6.2
185000000,2012.0,2.35,93.0,5005,185000000.0,7.2
185000000,2016.0,2.35,122.0,1327,185000000.0,7.5
180000000,2005.0,2.35,150.0,1317,180000000.0,6.9
180000000,2014.0,2.35,97.0,15516,180000000.0,7.0
180000000,2008.0,2.35,98.0,2975,180000000.0,8.4
180000000,2011.0,1.85,126.0,36017,170000000.0,7.5
179000000,2015.0,2.35,127.0,47334,176000000.0,5.4
178000000,2016.0,2.35,144.0,49684,178000000.0,7.3
178000000,2014.0,2.35,113.0,12652,178000000.0,7.9
175000000,2015.0,1.85,95.0,2944,175000000.0,8.3
175000000,2009.0,1.85,96.0,2635,175000000.0,8.3
175000000,2009.0,2.35,94.0,2579,175000000.0,6.5
175000000,2016.0,2.35,123.0,11287,175000000.0,6.9
175000000,2009.0,2.35,118.0,26683,175000000.0,5.8
175000000,1999.0,1.85,106.0,15870,170000000.0,4.8
175000000,2008.0,2.35,112.0,9131,145000000.0,5.2
175000000,2007.0,2.35,96.0,108016,175000000.0,5.4
175000000,1995.0,1.85,176.0,1004,175000000.0,6.1
175000000,2013.0,2.35,128.0,20965,175000000.0,6.3
170000000,2014.0,2.35,121.0,32438,170000000.0,8.1
170000000,2010.0,2.35,124.0,48638,200000000.0,7.0
170000000,2014.0,2.35,136.0,36188,170000000.0,7.8
170000000,2014.0,1.85,130.0,14363,170000000.0,7.6
170000000,2004.0,2.35,100.0,16264,165000000.0,6.6
170000000,2012.0,2.35,132.0,72881,170000000.0,6.1
170000000,2003.0,2.35,109.0,1769,200000000.0,6.4
170000000,2016.0,1.85,113.0,80806,170000000.0,6.4
165000000,2010.0,2.35,93.0,4628,165000000.0,6.4
165000000,2014.0,2.39,102.0,2963,165000000.0,7.9
165000000,2010.0,2.35,98.0,20453,165000000.0,8.2
165000000,2012.0,2.35,101.0,4451,165000000.0,7.8
165000000,2014.0,2.35,169.0,31488,165000000.0,8.6
165000000,2016.0,2.35,120.0,3233,165000000.0,5.5
160000000,2007.0,1.85,93.0,4705,160000000.0,6.1
160000000,2015.0,2.35,137.0,81385,160000000.0,6.6
160000000,2011.0,2.35,132.0,50983,160000000.0,7.8
160000000,2008.0,2.35,166.0,13333,150000000.0,7.8
160000000,2010.0,2.35,109.0,13388,150000000.0,6.1
160000000,2006.0,2.35,98.0,92456,160000000.0,5.6
160000000,2016.0,2.35,123.0,5505,160000000.0,7.3
155000000,2010.0,1.78,113.0,764,155000000.0,6.3
155000000,2015.0,2.35,126.0,38873,155000000.0,6.6
155000000,2004.0,2.35,206.0,24598,155000000.0,5.5
151500000,2001.0,2.35,184.0,5401,140000000.0,6.1
150000000,2013.0,2.24,102.0,2582,150000000.0,7.6
150000000,2007.0,2.35,138.0,33433,150000000.0,7.5
150000000,2005.0,2.35,157.0,53413,150000000.0,7.6
150000000,2003.0,2.35,138.0,534,150000000.0,7.2
150000000,2007.0,2.35,104.0,13076,150000000.0,7.2
150000000,2008.0,2.35,102.0,21584,150000000.0,6.4
150000000,2005.0,1.85,115.0,57844,150000000.0,6.7
150000000,2007.0,2.35,111.0,4764,150000000.0,8.0
150000000,2013.0,2.35,112.0,59803,170000000.0,7.1
150000000,2005.0,2.35,128.0,59558,150000000.0,8.3
150000000,2015.0,2.35,131.0,21840,150000000.0,7.4
150000000,2011.0,2.35,115.0,60059,150000000.0,7.0
150000000,2008.0,1.85,89.0,3285,150000000.0,6.7
150000000,2009.0,2.35,119.0,40054,150000000.0,6.7
150000000,2009.0,2.35,105.0,54039,150000000.0,5.9
150000000,2011.0,2.35,90.0,21015,150000000.0,7.3
150000000,2015.0,2.35,120.0,40025,150000000.0,8.1
150000000,2003.0,2.35,129.0,1062,150000000.0,6.7
150000000,2006.0,2.35,124.0,34817,150000000.0,6.9
150000000,2009.0,2.35,146.0,16948,150000000.0,6.7
150000000,2010.0,2.35,103.0,2857,150000000.0,4.2
150000000,2007.0,1.85,91.0,6576,150000000.0,6.2
150000000,2009.0,2.35,88.0,2217,150000000.0,5.1
150000000,2012.0,1.85,99.0,16184,150000000.0,5.8
150000000,2007.0,2.35,115.0,31523,150000000.0,6.3
150000000,2012.0,1.85,113.0,80849,100000000.0,6.2
150000000,2013.0,2.35,131.0,18204,150000000.0,6.4
150000000,2010.0,1.85,119.0,13071,150000000.0,5.8
150000000,2011.0,2.35,88.0,2652,150000000.0,5.4
149000000,2006.0,1.85,85.0,35161,149000000.0,6.7
145000000,2012.0,1.85,93.0,2444,145000000.0,6.9
145000000,2011.0,2.35,133.0,21768,145000000.0,7.4
145000000,2014.0,2.35,102.0,23378,145000000.0,7.9
145000000,2008.0,1.85,94.0,836,,4.8
145000000,2014.0,1.85,92.0,5810,145000000.0,6.9
145000000,2012.0,1.85,97.0,20645,145000000.0,7.3
145000000,2005.0,2.35,124.0,13073,130000000.0,6.0
142000000,2002.0,2.35,133.0,2538,142000000.0,6.1
140000000,2009.0,2.35,127.0,39284,150000000.0,8.0
140000000,1998.0,2.35,153.0,26029,140000000.0,6.6
140000000,2011.0,2.35,124.0,19761,140000000.0,6.9
140000000,2016.0,2.35,95.0,36095,145000000.0,7.2
140000000,2013.0,2.35,122.0,31958,130000000.0,5.8
140000000,2003.0,2.35,154.0,11945,140000000.0,7.7
140000000,2005.0,2.35,90.0,1997,100000000.0,6.1
140000000,2014.0,2.35,150.0,26490,140000000.0,6.1
140000000,2014.0,2.35,150.0,26489,140000000.0,6.1
140000000,2016.0,2.35,117.0,1950,140000000.0,6.8
140000000,2016.0,2.35,126.0,19769,140000000.0,5.5
139000000,2002.0,1.85,121.0,40484,139000000.0,7.3
138000000,2009.0,2.35,215.0,2530,130000000.0,7.7
138000000,2005.0,2.35,121.0,2705,135000000.0,5.0
137500000,2008.0,2.35,135.0,5811,150000000.0,6.8
137000000,2003.0,1.85,138.0,1814,137000000.0,5.7
137000000,2001.0,1.85,106.0,15015,137000000.0,6.4
135000000,2013.0,2.35,98.0,43286,135000000.0,7.3
135000000,2015.0,2.35,156.0,57108,135000000.0,8.1
135000000,1999.0,2.35,128.0,2037,135000000.0,6.4
135000000,2011.0,2.35,107.0,43291,135000000.0,7.2
135000000,2003.0,2.35,138.0,1205,150000000.0,7.4
135000000,2013.0,2.35,96.0,17416,135000000.0,6.5
135000000,2016.0,2.35,112.0,8306,135000000.0,6.3
135000000,2011.0,2.35,100.0,62644,135000000.0,5.9
135000000,,1.33,60.0,1687,1500000.0,7.5
132000000,2005.0,1.85,116.0,12758,132000000.0,6.5
132000000,2014.0,1.85,92.0,19963,132000000.0,6.7
130000000,2013.0,2.35,146.0,49355,130000000.0,7.6
130000000,2004.0,2.35,142.0,33284,130000000.0,7.8
130000000,2007.0,2.35,115.0,17369,110000000.0,8.1
130000000,2008.0,2.35,92.0,12754,130000000.0,7.6
130000000,2015.0,1.85,117.0,5730,130000000.0,7.4
130000000,2011.0,2.35,90.0,5046,130000000.0,6.7
130000000,2010.0,2.35,95.0,46120,130000000.0,7.3
130000000,2003.0,2.35,147.0,12954,130000000.0,6.6
130000000,2014.0,2.35,101.0,1031,103000000.0,6.4
130000000,2010.0,2.35,101.0,12406,110000000.0,6.4
130000000,2011.0,2.35,107.0,4631,135000000.0,7.4
130000000,2013.0,2.35,100.0,14168,130000000.0,4.9
130000000,2008.0,2.35,165.0,921,130000000.0,6.6
130000000,2013.0,2.35,96.0,31549,130000000.0,5.6
127500000,2000.0,1.85,82.0,2945,127500000.0,6.5
127000000,2014.0,1.85,98.0,53587,127000000.0,6.2
125000000,2011.0,,,11036,,7.5
125000000,2014.0,2.35,123.0,81385,125000000.0,6.7
125000000,2001.0,2.35,159.0,13191,125000000.0,7.5
125000000,2003.0,2.35,143.0,48184,140000000.0,8.1
125000000,2010.0,,,14719,,6.4
125000000,2006.0,2.35,174.0,16008,125000000.0,6.6
125000000,2011.0,2.35,132.0,55345,125000000.0,7.3
125000000,2011.0,2.35,129.0,22403,125000000.0,7.5
125000000,2004.0,2.35,124.0,20553,125000000.0,6.4
125000000,2012.0,2.35,124.0,24098,130000000.0,7.0
125000000,2012.0,2.35,135.0,12175,125000000.0,6.7
125000000,1997.0,1.85,125.0,2699,125000000.0,3.7
125000000,1999.0,2.35,102.0,1815,85000000.0,6.6
123000000,2000.0,1.85,110.0,4146,123000000.0,6.0
120000000,2000.0,2.35,130.0,2684,140000000.0,6.4
120000000,2007.0,2.35,92.0,15302,130000000.0,5.6
120000000,2012.0,1.85,127.0,2121,120000000.0,8.0
120000000,2007.0,2.35,123.0,14017,110000000.0,5.2
120000000,2016.0,2.35,123.0,13752,120000000.0,7.1
120000000,2003.0,2.35,107.0,4046,120000000.0,4.8
120000000,2013.0,2.35,109.0,17689,115000000.0,6.6
120000000,2013.0,2.35,124.0,22004,120000000.0,7.0
120000000,2002.0,1.85,77.0,2682,120000000.0,5.4
120000000,2004.0,2.35,134.0,17159,105000000.0,6.7
120000000,2008.0,2.35,135.0,902,120000000.0,6.1
120000000,2010.0,1.85,121.0,993,120000000.0,5.3
117000000,2010.0,2.35,117.0,12731,117000000.0,6.3
115000000,1999.0,2.35,136.0,37723,115000000.0,6.5
115000000,2005.0,2.35,140.0,44042,113000000.0,7.6
115000000,2002.0,1.78,142.0,42990,115000000.0,6.7
115000000,2001.0,1.85,92.0,15013,115000000.0,8.1
115000000,2013.0,2.35,138.0,23755,120000000.0,6.7
115000000,1997.0,2.35,108.0,1569,116000000.0,5.8
115000000,2016.0,2.35,120.0,46719,115000000.0,6.1
115000000,2002.0,2.35,153.0,15046,115000000.0,6.0
113500000,2008.0,2.35,116.0,1609,78000000.0,5.1
112000000,2010.0,2.35,85.0,1173,112000000.0,4.9
110000000,2013.0,2.35,91.0,87,100000000.0,7.8
110000000,2006.0,1.85,108.0,55486,110000000.0,6.4
110000000,2005.0,2.35,126.0,22722,120000000.0,6.5
110000000,2015.0,2.35,114.0,16718,110000000.0,6.1
110000000,2011.0,1.78,103.0,692,110000000.0,5.5
110000000,2007.0,2.35,129.0,13961,110000000.0,7.2
110000000,2004.0,2.35,125.0,19359,110000000.0,6.4
110000000,1997.0,2.35,119.0,2958,110000000.0,6.5
110000000,2000.0,2.35,142.0,19454,110000000.0,7.1
110000000,2014.0,2.35,102.0,10583,110000000.0,6.2
110000000,2004.0,2.35,170.0,34582,110000000.0,7.5
110000000,2011.0,2.35,119.0,13391,120000000.0,5.8
110000000,2011.0,2.35,127.0,22254,110000000.0,7.1
110000000,2013.0,1.85,105.0,914,105000000.0,5.4
110000000,2009.0,2.35,106.0,19906,100000000.0,6.4
110000000,2013.0,2.35,114.0,12908,110000000.0,6.7
110000000,2004.0,1.78,76.0,13607,110000000.0,5.4
110000000,1997.0,2.35,121.0,2027,160000000.0,3.7
109000000,2001.0,2.35,171.0,22342,93000000.0,8.8
109000000,2003.0,1.85,82.0,2762,109000000.0,3.8
109000000,2001.0,2.35,165.0,14196,107000000.0,6.8
108000000,2015.0,2.35,151.0,14831,108000000.0,8.1
105000000,2004.0,2.35,115.0,12068,120000000.0,7.1
105000000,1999.0,1.85,84.0,3382,133000000.0,5.9
105000000,2009.0,1.85,97.0,2480,105000000.0,7.1
105000000,,,22.0,5,,7.2
105000000,2001.0,1.85,104.0,3133,90000000.0,4.4
103300000,2000.0,2.35,127.0,29069,90000000.0,6.5
103000000,2000.0,2.35,171.0,6521,103000000.0,8.5
102500000,2009.0,2.35,140.0,64599,100000000.0,7.0
102000000,2002.0,2.35,145.0,12546,102000000.0,7.7
102000000,2012.0,2.35,172.0,22686,102000000.0,7.5
100000000,2002.0,2.35,174.0,35672,100000000.0,7.4
100000000,1991.0,2.35,153.0,2829,102000000.0,8.5
100000000,1995.0,1.85,121.0,2880,100000000.0,5.4
100000000,2004.0,2.35,131.0,13679,100000000.0,6.9
100000000,2012.0,2.35,165.0,40978,100000000.0,8.5
100000000,2010.0,1.85,98.0,24082,100000000.0,5.5
100000000,1994.0,2.35,141.0,4528,115000000.0,7.2
100000000,2007.0,1.85,176.0,20354,100000000.0,7.8
100000000,2009.0,2.35,90.0,1227,100000000.0,7.0
100000000,2010.0,2.35,116.0,20233,100000000.0,6.7
100000000,2013.0,2.35,240.0,46057,100000000.0,8.2
100000000,2013.0,2.35,102.0,14552,100000000.0,6.7
100000000,1996.0,2.35,115.0,3454,100000000.0,6.1
100000000,1996.0,1.78,91.0,4842,100000000.0,6.9
100000000,2000.0,1.66,78.0,2039,100000000.0,7.3
100000000,2012.0,2.35,103.0,57881,92000000.0,6.7
100000000,2009.0,2.35,101.0,1738,100000000.0,6.8
100000000,2006.0,2.35,104.0,4487,100000000.0,5.1
100000000,1999.0,2.35,121.0,3903,83000000.0,5.7
100000000,2004.0,1.85,93.0,13748,90000000.0,5.2
100000000,2007.0,1.85,85.0,25590,100000000.0,6.8
100000000,2006.0,2.35,143.0,33160,100000000.0,8.0
100000000,2010.0,2.35,101.0,4286,80000000.0,7.0
100000000,1997.0,1.85,129.0,2031,105000000.0,7.2
100000000,2009.0,1.85,102.0,10552,100000000.0,5.4
100000000,2004.0,2.35,87.0,3144,100000000.0,3.3
100000000,2014.0,2.35,131.0,52610,90000000.0,6.1
100000000,2002.0,1.5,95.0,26940,140000000.0,7.1
100000000,2010.0,2.35,115.0,13761,100000000.0,6.9
100000000,2014.0,2.35,119.0,54031,100000000.0,6.3
100000000,2005.0,1.85,94.0,1195,84000000.0,2.2
100000000,1997.0,1.85,110.0,1722,10000000.0,7.3
100000000,2002.0,1.85,95.0,6161,100000000.0,3.8
99000000,2015.0,1.85,88.0,309,99000000.0,7.2
98000000,2001.0,2.35,130.0,15972,98000000.0,6.3
97000000,2002.0,2.35,216.0,47657,100000000.0,7.5
95000000,2012.0,2.35,88.0,25354,95000000.0,6.6
95000000,2001.0,2.35,152.0,4270,92000000.0,7.7
95000000,2010.0,2.35,118.0,14024,95000000.0,5.9
95000000,2010.0,2.35,98.0,25780,100000000.0,6.8
95000000,1997.0,2.35,126.0,39319,93000000.0,7.7
95000000,2000.0,1.85,89.0,3372,95000000.0,6.9
95000000,2009.0,2.35,135.0,2370,65000000.0,6.7
95000000,2009.0,2.35,135.0,2369,65000000.0,6.7
95000000,2014.0,2.35,102.0,17098,95000000.0,5.5
94000000,2003.0,1.85,100.0,5641,94000000.0,8.2
94000000,2003.0,2.35,192.0,6434,94000000.0,8.9
94000000,2002.0,2.35,172.0,23052,94000000.0,8.7
94000000,2001.0,2.35,100.0,12150,115000000.0,5.7
93000000,2001.0,1.85,92.0,2574,93000000.0,5.9
93000000,2011.0,2.35,105.0,13118,93000000.0,7.6
92500000,2008.0,2.35,107.0,1614,90000000.0,6.6
92000000,2004.0,2.35,115.0,1901,92000000.0,8.0
92000000,2013.0,1.85,101.0,15481,92000000.0,5.3
92000000,1995.0,2.35,124.0,3611,98000000.0,5.6
91000000,2013.0,2.35,114.0,5095,90000000.0,7.3
90000000,1997.0,1.85,98.0,12998,90000000.0,7.3
90000000,1999.0,1.85,82.0,21275,90000000.0,7.9
90000000,2001.0,2.35,90.0,664,90000000.0,6.6
90000000,2009.0,1.85,128.0,23996,90000000.0,7.6
90000000,2009.0,1.85,94.0,1258,90000000.0,7.0
90000000,2000.0,2.35,130.0,12890,100000000.0,6.6
90000000,2011.0,2.35,96.0,12071,90000000.0,7.0
90000000,2006.0,2.35,151.0,45648,90000000.0,8.5
90000000,2000.0,2.35,94.0,15419,92000000.0,5.5
90000000,1998.0,1.66,88.0,4478,90000000.0,7.5
90000000,2008.0,2.35,121.0,23484,92000000.0,7.0
90000000,2011.0,2.35,158.0,20388,90000000.0,7.8
90000000,1997.0,2.35,150.0,12289,90000000.0,7.4
90000000,2008.0,1.85,113.0,13446,90000000.0,5.5
90000000,1995.0,2.35,128.0,14274,90000000.0,7.6
90000000,2015.0,1.85,92.0,38450,90000000.0,5.0
90000000,2001.0,2.35,95.0,15237,120000000.0,6.8
90000000,2008.0,1.85,121.0,14165,75000000.0,7.1
90000000,2015.0,2.35,106.0,35367,88000000.0,5.6
90000000,2001.0,1.85,146.0,6217,100000000.0,7.1
90000000,2003.0,2.35,88.0,2622,90000000.0,4.9
90000000,2000.0,1.85,119.0,2356,95000000.0,5.7
90000000,2005.0,2.35,128.0,2100,80000000.0,6.4
90000000,2013.0,2.35,106.0,10882,90000000.0,5.9
90000000,2003.0,2.35,117.0,33154,95000000.0,5.5
90000000,2016.0,2.35,129.0,23031,90000000.0,6.9
90000000,2001.0,2.35,114.0,12499,92000000.0,7.0
90000000,1997.0,2.35,116.0,475,68000000.0,6.2
90000000,2000.0,2.35,114.0,4902,90000000.0,5.6
90000000,1999.0,1.85,132.0,55254,100000000.0,6.8
90000000,1997.0,1.85,104.0,5062,90000000.0,5.4
90000000,1997.0,2.35,111.0,26088,86000000.0,6.1
90000000,2002.0,2.35,138.0,15149,100000000.0,6.7
90000000,2011.0,2.35,110.0,27694,75000000.0,5.8
90000000,2010.0,2.35,110.0,2728,90000000.0,4.4
88000000,2005.0,2.35,144.0,2523,88000000.0,8.0
86000000,2003.0,2.35,140.0,13808,87000000.0,7.3
85000000,2000.0,1.85,143.0,15838,90000000.0,7.7
85000000,2001.0,2.35,116.0,13028,85000000.0,7.8
85000000,2004.0,2.35,108.0,14161,75000000.0,7.8
85000000,1997.0,2.35,124.0,23603,85000000.0,6.4
85000000,2014.0,2.35,139.0,22226,85000000.0,6.7
85000000,2012.0,1.85,91.0,37142,85000000.0,7.1
85000000,2007.0,2.35,107.0,662,85000000.0,7.1
85000000,2012.0,2.35,115.0,36237,85000000.0,6.8
85000000,2007.0,2.35,122.0,43499,85000000.0,6.9
85000000,2009.0,1.85,120.0,15226,85000000.0,6.6
85000000,1998.0,2.35,140.0,11951,90000000.0,7.3
85000000,2006.0,1.85,83.0,6081,85000000.0,6.2
85000000,2011.0,2.35,104.0,3768,75000000.0,6.2
85000000,2000.0,1.85,100.0,4182,85000000.0,4.8
85000000,2012.0,1.85,106.0,11454,85000000.0,5.6
85000000,2006.0,1.85,138.0,17423,85000000.0,6.9
85000000,2006.0,2.35,104.0,1235,85000000.0,6.0
85000000,2005.0,2.35,145.0,2380,85000000.0,7.3
85000000,2001.0,2.35,131.0,5103,68000000.0,7.6
85000000,1993.0,2.35,130.0,2407,70000000.0,6.2
85000000,2003.0,2.35,104.0,16930,85000000.0,6.7
85000000,2011.0,1.85,97.0,2707,100000000.0,7.1
85000000,2010.0,1.85,82.0,3326,85000000.0,4.3
85000000,1998.0,1.85,178.0,23950,90000000.0,7.1
85000000,2002.0,1.85,108.0,1460,85000000.0,5.5
85000000,2007.0,2.35,162.0,36928,65000000.0,7.7
85000000,2010.0,1.85,112.0,12687,60000000.0,7.5
85000000,2003.0,2.35,135.0,1439,60000000.0,5.4
84000000,2002.0,1.85,86.0,6355,84000000.0,4.9
84000000,2000.0,1.85,109.0,2818,65000000.0,4.3
84000000,2013.0,2.35,116.0,25220,84000000.0,6.7
82500000,2006.0,1.85,107.0,12700,70000000.0,6.4
82500000,2006.0,1.85,97.0,23907,,6.4
82500000,2008.0,2.35,88.0,21863,85000000.0,6.1
82500000,2008.0,1.85,120.0,3632,85000000.0,7.0
82000000,2005.0,2.35,113.0,13693,82000000.0,6.4
82000000,2010.0,2.35,113.0,46355,80000000.0,6.5
82000000,2000.0,2.35,123.0,5839,82000000.0,5.9
81000000,2003.0,1.85,101.0,21276,81000000.0,6.7
80000000,2012.0,2.35,142.0,49942,78000000.0,7.3
80000000,2011.0,2.35,102.0,16143,80000000.0,6.5
80000000,2015.0,1.85,89.0,26839,80000000.0,6.7
80000000,1992.0,1.85,126.0,2899,80000000.0,7.0
80000000,2006.0,1.85,83.0,22813,80000000.0,6.8
80000000,2002.0,1.66,85.0,3112,80000000.0,7.2
80000000,1998.0,2.35,120.0,22750,75000000.0,6.1
80000000,2013.0,1.85,101.0,39269,80000000.0,5.4
80000000,2011.0,1.85,87.0,4073,75000000.0,4.4
80000000,2008.0,1.85,110.0,44798,80000000.0,6.5
80000000,2005.0,1.85,91.0,1804,75000000.0,6.3
80000000,2010.0,2.35,138.0,29585,80000000.0,8.1
80000000,2003.0,1.85,128.0,22679,80000000.0,6.7
80000000,2008.0,1.85,88.0,9913,80000000.0,5.6
80000000,1997.0,2.35,138.0,17087,80000000.0,7.3
80000000,2008.0,2.35,99.0,12831,80000000.0,6.1
80000000,2002.0,2.35,117.0,16828,80000000.0,7.7
80000000,2011.0,1.85,117.0,16325,80000000.0,6.4
80000000,2008.0,2.35,118.0,5637,80000000.0,6.6
80000000,1997.0,2.35,123.0,15362,75000000.0,6.8
80000000,2010.0,1.85,80.0,4394,80000000.0,4.6
80000000,2003.0,2.35,154.0,61110,79000000.0,7.2
80000000,2010.0,2.35,118.0,44797,80000000.0,6.9
80000000,1997.0,1.85,90.0,50005,80000000.0,5.2
80000000,1996.0,1.77,88.0,15001,80000000.0,6.3
80000000,2014.0,2.35,134.0,20411,68000000.0,7.6
80000000,2006.0,1.85,93.0,1267,65000000.0,5.6
80000000,2011.0,2.35,102.0,5392,80000000.0,5.2
80000000,1997.0,2.35,135.0,8355,75000000.0,6.7
80000000,1998.0,2.35,98.0,12729,70000000.0,5.7
80000000,2002.0,2.35,83.0,14261,80000000.0,7.0
80000000,2001.0,2.35,99.0,25942,80000000.0,6.5
80000000,1998.0,2.35,130.0,12186,80000000.0,5.1
80000000,2004.0,1.85,129.0,20056,80000000.0,6.6
80000000,1999.0,1.78,74.0,814,80000000.0,7.3
80000000,2002.0,2.35,96.0,1919,80000000.0,5.9
80000000,1998.0,2.35,113.0,49631,85000000.0,7.0
80000000,1998.0,1.85,114.0,10731,90000000.0,5.6
80000000,2005.0,2.35,129.0,2864,75000000.0,5.9
80000000,2000.0,1.85,90.0,25190,80000000.0,5.3
80000000,2005.0,1.85,118.0,27114,88000000.0,5.9
80000000,1996.0,2.35,106.0,22590,70000000.0,6.3
80000000,2013.0,2.35,87.0,1971,80000000.0,5.2
80000000,2000.0,1.85,145.0,1825,80000000.0,7.3
80000000,1996.0,1.85,114.0,25126,80000000.0,5.8
80000000,2015.0,2.35,106.0,16922,90000000.0,6.0
80000000,2014.0,2.35,105.0,1099,80000000.0,5.6
80000000,2003.0,2.35,91.0,5593,80000000.0,5.7
80000000,2009.0,2.35,118.0,619,80000000.0,5.8
80000000,2003.0,2.35,116.0,43887,80000000.0,5.6
80000000,2009.0,2.35,104.0,152,40000000.0,7.8
80000000,1998.0,1.85,97.0,2521,80000000.0,5.8
80000000,1997.0,2.35,177.0,4346,80000000.0,6.0
80000000,2000.0,2.35,106.0,2,70000000.0,5.7
80000000,2007.0,1.85,99.0,2323,80000000.0,5.9
80000000,2005.0,2.35,102.0,1890,52000000.0,4.2
79300000,1994.0,1.66,73.0,6458,45000000.0,8.5
79000000,2012.0,1.85,94.0,27842,79000000.0,5.8
79000000,2011.0,1.85,91.0,27405,79000000.0,3.4
78000000,2001.0,1.85,135.0,2827,58000000.0,8.2
78000000,2013.0,2.35,95.0,848,78000000.0,6.5
78000000,2002.0,2.35,124.0,35867,78000000.0,7.2
78000000,2004.0,2.35,136.0,36925,100000000.0,6.7
78000000,2003.0,2.35,110.0,4714,78000000.0,5.8
78000000,2004.0,2.0,125.0,1970,50000000.0,5.1
77500000,2015.0,2.35,108.0,30230,81200000.0,7.8
76000000,2013.0,1.85,98.0,11905,76000000.0,7.5
76000000,2006.0,1.85,109.0,16479,76000000.0,7.9
76000000,2000.0,1.85,92.0,28050,76000000.0,4.1
75000000,2016.0,1.85,87.0,4782,75000000.0,6.8
75000000,1996.0,2.35,154.0,16785,75000000.0,6.9
75000000,1997.0,1.85,129.0,1635,73000000.0,6.5
75000000,2006.0,1.85,115.0,1815,80000000.0,6.9
75000000,2005.0,1.85,86.0,1777,75000000.0,6.9
75000000,2010.0,1.85,102.0,28497,80000000.0,6.0
75000000,2004.0,1.85,90.0,63165,75000000.0,6.0
75000000,2000.0,2.35,104.0,21397,75000000.0,7.4
75000000,2008.0,2.35,110.0,25763,75000000.0,6.7
75000000,1996.0,2.35,136.0,15999,75000000.0,7.4
75000000,2004.0,2.35,99.0,12952,75000000.0,6.8
